policy_name,plan_number,uin_number,category,features_benefits,eligibility_age,eligibility_income,medical_examination,premium_options,maturity_benefits,surrender_clause,tax_benefits,terms_conditions,riders_available,pdf_sources,data_completeness_score,source_url,scraped_timestamp
LICs Single Premium Endowment Plan,717,512N283V03,Insurance_Plans,The plan provides for protection and savings. | Option to enhance protection by opting for Rider Benefitson | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility | For age at entry of Life Assured less than 50 years: Higher | For age at entry of Life Assured 50 years and above: | discounted value of all the future instalments due; or | ELIGIBILITY CONDITIONS AND OTHER RESTRICTIONS | 25 times of Single premium | REBATE FOR HIGH SUM ASSURED,,,Required,Single,"On Life Assured surviving the policy term, Sum Assured on Maturity along with vested Simple Reversionary Bonuses and Final Additional Bonus if any, shall be payable | Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lumpsum amount | , the PolicyholderLife Assured shall be required 5 to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | Death Benefit 5 Guaranteed Surrender ValueDeath Benefit Maturity BenefitReversionary BonusTotal Guaranteed Surrender Value4Special Surrender Value4Surrender BenefitReversionary BonusTotal Guaranteed Surrender Value4Special Surrender Value4Surrender BenefitTotal Maturity | means the benefit, which is payable on maturity, as specified in in Condition 1 | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",equal to higher of Guaranteed Surrender Value and Special Surrender Value,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"If the policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30days from the date of receipt of electronic or physical mo | Death benefit payable on death of the life assured during the policy term after the date of commencement of risk but before the date of maturity, shall be Sum Assured on Death along with vested | payable shall be refund of Single premium paid (excluding taxes, extra premium and rider premiums if any), without interest | in instalments: This is an option to receive death benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount | s payable under the policy | in instalments, the Policyholder during minority of the Life Assured or the Life Assured, if major, can exercise this option during hisher lifetime while in currency of the policy, specifying the | final instalment of death benefit is paid; or b) The date on which surrender benefits are settled under the policy; or c) The date of maturity if settlement option is not exercised; or d) On paym | 5 Guaranteed Surrender ValueDeath Benefit Maturity BenefitReversionary BonusTotal Guaranteed Surrender Value4Special Surrender Value4Surrender BenefitReversionary BonusTotal Guarant",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Single Premium Endowment Plan (Content is in English),1.0,https://licindia.in/web/guest/lic-s-single-premium-endowment-plan-717-512n283v03,2025-05-31T18:22:47.434842
LICs New Endowment Plan,714,512N277V03,Insurance_Plans,"The plan provides for protection and savings. | Option to enhance coverage by opting for Rider Benefits on payment of | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | discounted value of all the future instalments due; or | Eligibility Conditions and Other Restrictions: | 00 (Instalment Premium for Base Plan) | It includes rider(s) premiums in respect of all the rider(s) opted by the proposer  | Annualized Premium excludes underwriting extra premium, frequency loadings on | In any case the total death benefit during the Policy Term shall not be less than 105%",8-50 years,,Required,Regular,"On Life Assured surviving the policy term, provided the policy is in-force, Sum Assured on Maturity along with vested Simple Reversionary Bonuses and Final Additional Bonus, if any, shall be payable | Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as paid-up policy | , the PolicyholderLife Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested Simple Reversionary Bonuses, if any | means the benefit, which is payable on maturity, as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half- yearly or quarterly premiums and 15 days for monthly premiums from the date of First unpaid premium | will also apply to rider premiums which are payable along with premium for base policy 7 6 | then the policy will lapse | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | Death benefit payable in case of death of the Life Assured during the policy term provided the policy is in-force (i | shall not be less than 105% of total premiums paid upto the date of death | in instalments: This is an option to receive death benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as paid-up policy",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Endowment Plan (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-endowment-plan-714-512n277v03,2025-05-31T18:22:59.020370
LICs New Jeevan Anand,715,512N279V03,Insurance_Plans,"The plan pr ovides for protection and savings. | Takes care of liquidity needs through loan facility. | On death after expiry of the policy term i.e. from the stipulated Date of | discounted value of all the future instalments due; or | Eligibility Conditions and Other Restrictions: | 00 (Instalment Premium for Base Plan) | It includes rider(s) premiums in respect of all the rider(s) opted by the proposer  | Annualized Premium excludes underwriting extra premium, frequency loadings on | Surrender value is higher of Guaranteed Surrender Value (GSV) and Special Surrender | In any case the total death benefit during the Policy Term shall not be less than 105% of",,,Required,Regular,"at such rates and on such terms as may be declared by the Corporation | Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lumpsum amount under an in-force as well as paid-up policy | , the Life As- sured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on ex - piry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested simple reversionary bonuses, if any | means the benefit, which is payable on maturity, as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiumsfrom the date of First unpaid premium | will also apply to rider premiums which are payable along with premium for base policy | then the policy will lapse | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to theCorporation within30 daysfrom the date of receipt of the electronic or physical m | shall be paid: 2 3  On Death during the policyterm i | , equal to Sum Assured on Death along with vested Simple Reversionary Bonuses and Final Additional bonus, if any, shall be payable;where, Sum Assured on Death is defined as higher of 125% of B | shall not be less than 105% of total premiums paidupto date of death",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs New Jeevan Anand (Content is in English),1.0,https://licindia.in/web/guest/lic-s-new-jeevan-anand-715%09512n279v03,2025-05-31T18:23:14.108591
LICs Jeevan Lakshya,733,512N297V03,Insurance_Plans,"The plan provides for protection and savings. | Option for payment of benefits in instalments | Option to enhance coverage by opting for Rider Benefits on payment of | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | discounted value of all the future instalments due; or | 110% of Basic Sum Assured multiplied by the ratio of the total | Reduced Income Benefit i.e. 10% of Basic Sum assured multiplied | ELIGIBILITY CONDITIONS AND RESTRICTIONS: | 00%if collected explicitly and premiums for rider(s), if opted for) multiplied",18-50 years,,Required,Regular,"On Life Assured surviving the policy term, provided the policy is in-force, Sum Assured on Maturity along with vested Simple Reversionary bonuses and Final Additional bonus, if any, shall be payable | ): Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lumpsum amount under an in-force as well as paid-up policy | , the Life Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity claim | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-up Sum Assured along with vested Simple Reversionary Bonuses, if any | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half- yearly or quarterly premiums and 15 days for monthly premiums from the date of first unpaid premium | will also apply to rider premiums which are payable along with premium for base policy | then the policy will lapse | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | On death of the Life Assured during the policy term before the stipulated Date of Maturity provided the policy is in-force i | , defined as sum of Sum Assured on Death , vested Simple Reversionary Bonuses and Final Additional Bonus, if any, shall be payable | , shall be payable on due date of maturity",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Jeevan Lakshya (Content is in English),1.0,https://licindia.in/web/guest/lic-s-jeevan-lakshya-733-512n297v03,2025-05-31T18:23:29.329025
LICs Jeevan Labh Plan,736,512N304V03,Insurance_Plans,"The plan provides for protection and savings. | Option to enhance coverage by opting for Rider Benefits on payment of additional | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | discounted value of all the future instalments due; or | ELIGIBILITY CONDITIONS AND OTHER RESTRICTIONS | It includes rider(s) premiums in respect of all the rider(s) opted by the proposer | Annualized Premium excludes underwriting extra premium, frequency loadings | Surrender value is higher of Guaranteed Surrender Value (GSV) and Special | In any case the total death benefit during the Policy Term shall not be less",,,Required,Regular,"On Life Assured surviving to the end of the policy term, provided the policy is in-force, Sum Assured on Maturity along with vested Simple Reversionary bonuses and Final Additional bonus, if any, shall be payable | Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as paid-up policy | , the Policyholder Life Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested Simple Reversionary Bonuses, if any | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly, half-yearly, quarterly mode and 15 days for monthly mode of premium payment from the date of first unpaid premium | will also apply to rider premiums which are payable along with premium for base policy | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | Death benefit payable in case of death of the Life Assured during the policy term, provided the policy is in-force (i | shall not be less than 105% of total premiums paid upto the date of death | in instalments: This is an option to receive death benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as paid-up policy | s payable under the policy",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Jeevan Labh Plan (Content is in English),1.0,https://licindia.in/web/guest/lic-s-jeevan-labh-plan-736-512n304v03,2025-05-31T18:23:44.689540
LICs Amritbaal,774,512N365V02,Insurance_Plans,Guaranteed Addition Rs. 80 per thousand Basic Sum | Option to choose Life Insurance coverage for your child as | Option to choose Premium Waiver Benefit rider on | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | 7 times of Annualized Premium; or | 10 times ofAnnualized Premium;or | 1.25 times of SinglePremium;or | discounted value of all the future instalments due; or | Maximum Policy Term: 20 years.,0-13 years,,Required,Regular,"On Life Assured surviving the stipulated Date of Maturity, provided the policy is in-force, Sum Assured on Maturity along with accrued Guaranteed Additions for in-force policy, shall be payable; where Sum Assured on Maturity is equal the Basic Sum Assured | ): Settlement Option is an option to receive Maturity Benefit in instalments over a period of 5 or 10 or 15 years instead of lump sum amount under an In-force as well as Paid- up policy | , the PolicyholderLife Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity claim | , desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with the accrued Guaranteed Additions for Paid-up policy (as specified below) | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of at least two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"(Applicable in case of Option I & Option II only): A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the da | will also apply to rider premiums which are payable along with premium for Base Policy | , then the policy will lapse | from the date of First Unpaid Premium and nothing shall be payable and the premiums paid hitherto are also not refundable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | The proposer shall have an option to choose Sum Assured Basic Sum Assured RangeSum Assured Multiple (Rs | payable in case of death of the life assured during the policy term after the date of commencement of risk but before the date of maturity, provided the policy is in-force, shall be Sum Assured o | under Limited Premium payment (Option I & Option II) shall not be less than 105% of Total Premiums Paid upto the date of death",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Amritbaal (Content is in English),1.0,https://licindia.in/web/guest/lic-s-amritbaal-774%09512n365v02,2025-05-31T18:23:59.856551
LICs Bima Jyoti,760,512N339V03,Insurance_Plans,The plan provides for protection and savings. | Guaranteed Addition at the rate of Rs. 50 per thousand | Option to enhance coverage by opting for Rider Benefits | Benefit of attractive High Sum Assured Rebate. | In case the age of the life assured is below 8 years at | Eligibility conditions and other restrictions: | Benefits payable under an in-force policy (where all due | It includes rider(s) premiums in respect of all the | Annualized Premium excludes underwriting extra | In any case the total death benefit at any time shall not be,,,Required,Regular,"On Life Assured surviving the stipulated Date of Maturity provided the policy is in-force, Sum Assured on Maturity along with accrued Guaranteed Additions, shall be payable | ): Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lump sum amount under an in-force as well as Paid-up policy | , the Policyholder Life Assured shall be required to exercise option for payment of net claim amount in instalments at least 3 months before the due date of maturity | a) If a Life Assured, who has exercised Settlement Option against Maturity Benefit, desires to withdraw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with Guaranteed Additions accrued up to the date of First Unpaid Premium | means the benefit, which is payable on maturity as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of First Unpaid Premium | will also apply to rider premiums which are payable along with premium for Base Policy | , then the policy will lapse | from the date of First Unpaid Premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of electronic or physical m | Death benefit payable on death of the life assured during the policy term after the date of commencement of risk but before the date of maturity, shall be Sum Assured on Death along with accrued | shall not be less than 105% of the Total Premiums Paid upto the date of death | payable shall be return of Total Premiums paid (excluding taxes, extra premium and rider premiums if any), without interest",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochures (Content is in English) | Policy Document (Content is in English) | CIS LICs Bima Jyoti (Content is in English),1.0,https://licindia.in/web/guest/lic-s-bima-jyoti-new,2025-05-31T18:24:24.914910
LICs Jeevan Azad,768,512N348V02,Insurance_Plans,The plan provides for protection and savings. | Option to enhance coverage by opting for Rider Ben- | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility | discounted value of all the future instalments | Maximum Age at Entry: 65 years (Age Nearer Birth- | Maximum Age at Maturity: 65 Years (Age Nearer | Maximum Sum Assured on Death (per life):  25 Lakhs. | No rider shall be available in case of the policies | In case the age of the life assured is below 8 years at,,,Required,Regular,"On Life Assured surviving the stipulated Date of Maturity, Sum Assured on Maturity which is equal to Basic Sum Assured shall be payable | ): Settlement Option is an option to receive Maturity Benefit in instalments over the chosen period of 5 or 10 or 15 years instead of lumpsum amount un - der an In-force as well as Paid-up policy | , desires to with - draw this option and commute the outstanding instalments, the same shall be allowed on receipt of written request from the Life Assured | Death Benefit3 Guaranteed Surrender Value (GSV)Special Surren - der Value (SSV)4 1 2 3 4 5 6 7 8 1 12,152 0 0 200,000 0 5,860 5,860 2 24,304 0 0 200,000 7,291 12,580 12,580 3 36,456 0 0 200,000 12,760 20,262 20,262 4 48,608 0 0 200,000 24,304 29,016 29,016 5 60,760 0 0 200,000 30,380 38,950 38,950 | means the benefit, which is payable on maturity, as stated in this Policy Document | in instalments instead of lumpsum amount over a period chosen by the Policyholder Life Assured | On Life Assured surviving the stipulated Date of Maturity,provided the policy is in-force, the Sum Assured on Maturity which is equal to Basic Sum Assured shall be payable",on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for pay - ment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of First Unpaid Premium | will also apply to rider premiums which are payable along with premium for Base Policy | , then the policy will lapse | from the date of First Unpaid Premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physi | Death benefit payableon death of the life assured during the policy term after the date of commencement of risk but before the date of maturity, shall be Sum Assured on Death whereSum Assured on | shall not be less than 105% of Total Premiums Paid upto the date of death | payable shall be refund of premium(s) paid (excluding taxes, extra premium and rider premium(s), if any), without interest",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Jeevan Azad (Content is in English),1.0,https://licindia.in/web/guest/lic-s-jeevan-azad,2025-05-31T18:24:46.400695
LICs Jeevan Umang,745,512N312V03,Insurance_Plans,"Annual Survival benefit equal to 8% of Basic Sum Assured from the end of the | Lump sum payment at the time of maturity or on death of the policyholder | Option to enhance coverage by opting for Rider Benefits on payment of | Benefit of attractive High Sum Assured Rebate. | Takes care of liquidity needs through loan facility. | ELIGIBILITY CONDITIONS AND OTHER RESTRICTION | If Maturity Paid-up Sum Assured is less than the minimum Basic Sum Assured | If Maturity Paid-up Sum Assured is equal to or more than minimum Basic Sum | If age at entry of the Life Assured is less than 8 years, the risk will commence | It includes rider(s) premiums in respect of all the rider(s) opted by the proposer",,,Required,Regular,"On the life assured surviving to the end of the policy term, provided all due premiums have been paid, Sum Assured on Maturity along with vested Simple Reversionary Bonuses (as mentioned in (d) below) and Final Additional bonus, if any, shall be payable | payable under the paid-up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested simple reversionary bonuses and final additional bonus, if any | Death Benefit 5 Survival BenefitGuaranteed Surrender ValueDeath Benefit Maturity BenefitReversionary BonusTotal Guaranteed Surrender ValueSpecial Surrender valueSurrender BenefitReversionary BonusTotal Guaranteed Surrender ValueSpecial Surrender valueSurrender BenefitTo | , Incl of Final Additional Bonus, If any, @ 4% (67FAB)Total Maturity Benefit, Incl of Final Additional Bonus, If any, @ 8% (611FAB)Total Death Benefit, Incl of Final Additional Bonus,If any, @ 4% (57FAB)Total Death Benefit, Incl of Final Additional Bonus,If any, @ 8% ( | means the benefit, which is payable on maturity as stated in this Policy Document | On the Life Assured surviving to the stipulated Date of Maturity, provided the policy is in-force, Sum Assured on Maturity along with vested Simple Reversionary Bonuses and Final Additional Bonus, if any, shall be payable | payable under the paid- up policy, on expiry of the policy term, shall be Maturity Paid-Up Sum Assured along with vested simple reversionary bonuses and final additional bonus, if any",on payment of Condition 1,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of first unpaid premium | will also apply to rider premiums which are payable along with premium for base policy | then the policy will lapse | from the date of first unpaid premium and nothing shall be payable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physica | in instalments | On death of the Life Assured during the policy term, provided the policy is in- force i | payable, shall be Sum Assured on Death along with vested Simple Reversionary Bonuses (as mentioned in (d) below) and Final Additional bonus, if any",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochures (Content is in English) | Policy Document (Content is in English) | CIS LICs Jeevan Umang (Content is in English),1.0,https://licindia.in/web/guest/lic-sjeevanumang-745%09512n312v03,2025-05-31T18:25:07.022031
LICs Jeevan Utsav,771,512N363V02,Insurance_Plans,Two options available at inception to choose the benefit | Guaranteed Additions throughout Premium Paying Term | Flexibility to choose Premium Paying Term from 5 Years to | Benefit of attractive High Sum Assured Rebate | Option to enhance coverage by opting for riders on | Takes care of liquidity needs through loan facility | Option I - Regular Income Benefit | Option II  Flexi Income Benefit | ELIGIBILITY CONDITIONS & OTHER RESTRICTIONS: | SAMPLE ILLUSTRATIVE PREMIUM :,,,Required,Regular,Maturity benefit is not available under this plan | Maturity Benefit is not available under the policy | s) One month before due date  Link for downloading claim form : https:licindia,on payment of atleast two full years premiums and Special Surrender Value after completion of first policy year provided one full years premium(s) has been paid,Tax Benefit Investor Relations NRI NRI Centre NRI Customers FATCACRS QuickPay-Premium Access Country List NPS - Subscriber Corner Pay Premium Login Customer Portal NRI Customer Portal Agent,"A grace period of 30 days shall be allowed for payment of yearly or half-yearly or quarterly premiums and 15 days for monthly premiums from the date of First Unpaid Premium | will also apply to rider premiums which are payable along with premium for Base Policy | , then the policy will lapse | from the date of First Unpaid Premium and nothing shall be payable and the Premiums paid thitherto are also not refundable | If the Policyholder is not satisfied with the Terms and Conditions of the policy, the policy may be returned to the Corporation within 30 days from the date of receipt of the electronic or physic | On death of the Life Assured after the date of commencement of risk, Death Benefit equal to Sum Assured on Death along with accrued Guaranteed Additions shall be payable, provided the policy i | shall not be less than 105% of total premiums paid up to the date of death | shall be refund of premium(s) paid (excluding taxes, any extra premium, rider premium(s), if any), without interest",Pension Plans Unit Linked Plans Micro Insurance Plans Withdrawn Plans Group Business Contact for Group Insurance Scheme Group CustomerAnnuitant Login 87A Declaration for Group Annuity Pensi,Sales Brochure (Content is in English) | Policy Document (Content is in English) | CIS LICs Jeevan Utsav (Content is in English),1.0,https://licindia.in/web/guest/lic-s-jeevan-utsav1,2025-05-31T18:25:42.349361
